Siteid,senid,DtTm,sfcond,sftemp,frztemp,chemfactor,chempct,depth,icepct,subsftemp,waterlevel
178021,0,09/22/2018 22:20:05,Dry,1300,,,,,,,
178021,1,09/22/2018 22:20:05,,,,,,,,2200,
178020,0,09/22/2018 22:20:04,Wet,4100,,,,,,,
178020,1,09/22/2018 22:20:04,,,,,,,,2400,
178036,0,09/22/2018 22:20:03,Dry,3700,,,,,,,
178036,1,09/22/2018 22:20:03,,,,,,,,2200,
178019,0,09/22/2018 22:20:07,Other,,,,,,,,
178019,1,09/22/2018 22:20:07,Dry,3800,,,,,,,
178019,2,09/22/2018 22:20:07,,,,,,,,2100,
178037,0,09/22/2018 22:20:04,Dry,3400,,,,,,,
178037,1,09/22/2018 22:20:04,,,,,,,,2200,
178028,0,09/22/2018 22:20:04,Wet,3200,,,,,,,
178028,1,09/22/2018 22:20:04,,,,,,,,-1900,
178000,0,09/22/2018 22:20:06,Dry,3400,,,,,,,
178000,1,09/22/2018 22:20:06,Other,,,,,,,,
178000,2,09/22/2018 22:20:06,,,,,,,,2100,
20100032,0,09/22/2018 22:20:03,Dry,3100,0,,,0,,,
178034,0,09/22/2018 22:20:04,Wet,3500,,,,,,,
178034,1,09/22/2018 22:20:04,,,,,,,,2000,
20100027,0,09/22/2018 22:20:03,Dry,3700,0,,,0,,,
20100027,1,09/22/2018 22:20:03,,,,,,,,2000,
20100001,0,09/22/2018 22:20:03,Error,,,,,0,,,
20100011,0,09/22/2018 22:20:02,Dry,3100,0,,,0,,,
20100011,1,09/22/2018 22:20:02,,,,,,,,1900,
178032,0,09/22/2018 22:20:04,Dry,3400,,,,,,,
178032,1,09/22/2018 22:20:04,,,,,,,,2100,
178005,0,09/22/2018 22:20:06,Other,,,,,,,,
178005,1,09/22/2018 22:20:06,Dry,3700,,,,,,,
178005,2,09/22/2018 22:20:06,,,,,,,,2100,
20100054,0,09/22/2018 22:20:05,Error,,,,,,,,
20100054,1,09/22/2018 22:20:05,Error,,,,,,,,
20100054,2,09/22/2018 22:20:05,Error,,,,,,,,
20100054,3,09/22/2018 22:20:05,Error,,,,,,,,
20100054,4,09/22/2018 22:20:05,,,,,,,,,
20100054,5,09/22/2018 22:20:05,,,,,,,,,
20100054,6,09/22/2018 22:20:05,,,,,,,,,
20100054,7,09/22/2018 22:20:05,,,,,,,,,
20100003,0,09/22/2018 22:20:04,Dry,3600,0,,,0,,,
20100003,1,09/22/2018 22:20:04,Error,,,,,0,,,
20100003,2,09/22/2018 22:20:04,,,,,,,,1900,
178023,0,09/22/2018 22:20:05,Dry,3100,,,,,,,
178023,1,09/22/2018 22:20:05,,,,,,,,1600,
178030,0,09/22/2018 22:20:04,Dry,3500,,,,,,,
178030,1,09/22/2018 22:20:04,,,,,,,,2100,
20100029,0,09/22/2018 22:20:03,Error,,,,,0,,,
20100017,0,09/22/2018 22:20:02,Dry,3600,0,,,0,,,
20100017,1,09/22/2018 22:20:02,,,,,,,,2100,
20100031,0,09/22/2018 22:20:03,Error,,,,,0,,,
20100031,1,09/22/2018 22:20:03,,,,,,,,,
20100031,2,09/22/2018 22:20:03,,,,,,,,,
20100031,3,09/22/2018 22:20:03,,,,,,,,0,
20100021,0,09/22/2018 22:20:02,Dry,3500,0,,,0,,,
20100021,1,09/22/2018 22:20:02,,,,,,,,2100,
