Siteid,DtTm,AirTemp,Dewpoint,Rh,SpdAvg,SpdGust,DirMin,DirAvg,DirMax,Pressure,PcIntens,PcType,PcRate,PcAccum,Visibility
178021,09/22/2018 22:20:05,2700,100,18,26,41,,245,241,,,None,,,
178020,09/22/2018 22:20:04,2900,-1100,6,20,33,,325,324,,None,None,0,0,2000
178036,09/22/2018 22:20:03,2600,-1400,5,11,28,,270,269,8019,None,None,0,0,2000
178019,09/22/2018 22:20:07,2900,-1000,7,27,41,,255,280,,None,None,0,0,2000
178037,09/22/2018 22:20:04,2800,-1300,6,16,27,,230,255,8204,None,None,0,0,2000
178028,09/22/2018 22:20:04,,,,33,44,,235,238,5074,,None,,0,
178000,09/22/2018 22:20:06,2300,-500,14,21,49,,265,287,,None,None,0,0,2000
20100032,09/22/2018 22:20:03,2400,-900,10,14,26,,265,309,7941,None,None,0,0,2000
178034,09/22/2018 22:20:04,2200,-1400,8,10,26,,260,256,7677,None,None,0,0,2000
20100027,09/22/2018 22:20:03,2600,-900,9,18,27,,215,265,8029,None,None,0,0,2000
20100001,09/22/2018 22:20:03,,,,26,36,,357,357,,,None,,,
20100011,09/22/2018 22:20:02,1900,-1200,11,21,32,,280,308,7470,None,None,0,0,2000
178032,09/22/2018 22:20:04,2300,-1200,8,34,45,,245,246,7793,None,None,0,0,2000
178005,09/22/2018 22:20:06,2700,-1400,5,35,46,,185,181,,None,None,0,0,2000
20100054,09/22/2018 22:20:05,,,,0,0,,0,0,,,None,,,
20100003,09/22/2018 22:20:04,2100,-1200,9,31,51,,251,281,,None,None,0,0,2000
178023,09/22/2018 22:20:05,1800,0,30,7,19,,230,291,,None,None,0,0,2000
178030,09/22/2018 22:20:04,2200,-1100,9,41,49,,200,196,7790,None,None,0,0,2000
20100029,09/22/2018 22:20:03,2600,-1000,9,22,36,,248,292,8075,None,None,0,0,2000
20100006,,,,,,,,,,,,,,,
20100017,09/22/2018 22:20:02,2100,-1200,9,32,43,,174,175,,None,None,0,0,2000
20100031,09/22/2018 22:20:03,2500,-1100,9,30,50,,281,346,7973,None,None,0,0,2000
20100021,09/22/2018 22:20:02,2300,-1300,8,35,49,,206,229,7825,None,None,0,0,2000
178017,09/22/2018 22:20:04,2300,-1100,9,24,49,,280,261,,,None,,,
20100007,09/22/2018 22:20:03,2000,-1100,11,42,51,,257,270,,None,None,0,0,2000
20100039,09/22/2018 22:20:04,2400,-1000,10,14,36,,300,2,,,None,,,
178027,09/22/2018 22:20:06,2700,-600,11,3,11,,335,0,,None,None,0,0,2000
178010,09/22/2018 22:20:07,3000,-500,10,2,6,,110,149,,None,None,0,0,2000
20100030,09/22/2018 22:20:03,2700,-900,8,16,29,,236,284,8087,None,None,0,0,2000
20100052,09/22/2018 22:20:03,2400,-800,11,2,34,,236,237,7224,,None,,400,1931
20100048,09/22/2018 22:20:02,2200,1200,7,32,44,,248,214,7011,,None,,0,1630
20100020,09/22/2018 22:20:02,2200,-1300,9,39,54,,230,264,7749,None,None,0,0,2000
178022,09/22/2018 22:20:03,,,,,,,,,,,None,,,
178009,,,,,,,,,,,,,,,
20100028,09/22/2018 22:20:03,2600,-1000,9,12,36,,217,264,8024,None,None,0,0,2000
178006,09/22/2018 22:20:05,2600,-1200,7,26,46,,260,252,,None,None,0,0,2000
178038,09/22/2018 22:20:04,2800,-1400,5,19,33,,300,260,8218,None,None,0,0,2000
20100013,09/22/2018 22:20:02,2400,-1200,8,17,33,,271,329,7800,None,None,0,0,2000
20100015,09/22/2018 22:20:02,2300,-1200,8,21,37,,240,280,7725,None,None,0,0,2000
178007,09/22/2018 22:20:10,2800,-1200,6,37,50,,265,258,,None,None,0,0,2000
20100002,09/22/2018 22:20:04,1900,-1200,11,21,28,,268,271,,None,None,0,0,
178015,09/22/2018 22:20:07,2600,-500,12,23,27,,310,299,,,None,,0,
178002,09/22/2018 22:20:04,2500,-300,15,12,33,,230,214,,,None,,,
178046,09/22/2018 22:20:04,2800,-1200,6,4,8,,225,216,8345,,None,,0,2000
20100004,09/22/2018 22:20:02,2800,-1100,7,20,33,,240,281,,None,None,0,0,
20100012,09/22/2018 22:20:02,2200,-1300,9,39,54,,230,264,7749,None,None,0,0,2000
20100049,,,,,,,,,,,,,,,
20100048,09/22/2018 22:20:08,1900,100,11,5,12,,225,272,8480,None,None,0,0,10100
178014,09/22/2018 22:20:04,2000,-1200,9,22,30,,315,305,,,None,,,
178018,09/22/2018 22:20:04,2700,0,16,17,32,,275,315,,,None,,,
178043,09/22/2018 22:20:03,2300,-1200,8,26,39,,275,243,7984,None,None,0,0,2000
20100057,09/22/2018 22:21:17,1400,-1200,15,25,33,,24,37,7150,None,None,0,0,72289
20100033,09/22/2018 22:20:03,2500,-300,15,6,9,,165,188,8662,None,None,0,0,2000
178029,09/22/2018 22:20:04,2400,-1200,8,17,53,,255,191,7899,None,None,0,0,2000
20100042,09/22/2018 22:20:03,2300,-1400,7,19,30,,250,246,7811,None,None,0,0,2000
20100024,09/22/2018 22:20:02,2600,-1100,8,23,35,,220,271,8005,None,None,0,0,2000
20100018,09/22/2018 22:20:02,2200,-1200,9,35,55,,332,35,7747,None,None,0,0,2000
20100014,09/22/2018 22:20:02,2300,-1200,9,18,31,,241,34,7693,None,None,0,0,2000
178024,09/22/2018 22:20:03,2700,-700,9,22,33,,230,187,,Rain,Slight,0,0,1770
178013,09/22/2018 22:20:04,2100,-1200,9,13,24,,355,303,,None,None,0,0,2000
20100025,09/22/2018 22:20:02,,,,34,56,,275,308,9256,None,None,0,0,2000
178012,09/22/2018 22:20:06,2800,-900,8,11,26,,310,294,,,None,,,
20100016,09/22/2018 22:20:02,2200,-1300,9,25,41,,315,134,7690,None,None,0,0,2000
178035,09/22/2018 22:20:06,2400,-1400,6,8,24,,350,318,7900,,None,,0,
20100053,09/22/2018 22:20:03,2300,-1000,9,2,37,,203,177,7228,,None,,800,1931
178044,09/22/2018 22:20:05,2800,-1100,6,22,47,,240,253,8278,None,None,0,0,2000
178008,09/22/2018 22:20:06,2600,-800,9,23,35,,235,255,,None,None,0,0,2000
178011,09/22/2018 22:20:04,2600,-700,10,12,18,,305,288,,,None,,,
